movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name
42,Biography Drama Sport,Brian Helgeland,Harrison Ford,Christopher Meloni,Nicole Beharie
the talented mr. ripley,Crime Drama Thriller,Anthony Minghella,Philip Seymour Hoffman,Matt Damon,Jack Davenport
dumb and dumber to,Comedy,Bobby Farrelly,Bill Murray,Kathleen Turner,Rob Riggle
eight below,Adventure Drama Family,Frank Marshall,Paul Walker,Bruce Greenwood,Wendy Crewson
the intern,Comedy Drama,Nancy Meyers,Robert De Niro,Anne Hathaway,Rene Russo
ride along 2,Action Comedy,Tim Story,Olivia Munn,Nadine Velazquez,Bruce McGill
the last of the mohicans,Action Adventure Drama Romance War,Michael Mann,Wes Studi,Terry Kinney,Eric Schweig
ray,Biography Drama Music,Taylor Hackford,Bokeem Woodbine,Curtis Armstrong,Harry Lennix
sin city,Crime Thriller,Frank Miller,Rosario Dawson,Powers Boothe,Jason Douglas
vantage point,Crime Drama Mystery Thriller,Pete Travis,Dennis Quaid,Edgar Ramírez,William Hurt
"i love you, man",Comedy Romance,John Hamburg,J.K. Simmons,Jon Favreau,Jane Curtin
shallow hal,Comedy Drama Fantasy Romance,Bobby Farrelly,Jason Alexander,Bruce McGill,Susan Ward
jfk,Drama History Thriller,Oliver Stone,Sally Kirkland,Jay O. Sanders,Cheryl Penland
big momma's house 2,Comedy Crime,John Whitesell,Chloë Grace Moretz,Nia Long,Marisol Nichols
the mexican,Adventure Comedy Crime Romance,Gore Verbinski,J.K. Simmons,Brad Pitt,Julia Roberts
unbroken,Biography Drama Sport War,Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell
17 again,Comedy Drama Family Fantasy Romance,Burr Steers,Matthew Perry,Hunter Parrish,Thomas Lennon
the other woman,Comedy Romance,Nick Cassavetes,Don Johnson,Kate Upton,David Thornton
the final destination,Horror,David R. Ellis,Krista Allen,Andrew Fiscella,Shantel VanSanten
bridge of spies,Drama History Thriller,Steven Spielberg,Tom Hanks,Mark Rylance,Amy Ryan
behind enemy lines,Action Drama Thriller War,John Moore,Joaquim de Almeida,David Keith,Sam Jaeger
get him to the greek,Comedy Music,Nicholas Stoller,Pink,Mario Lopez,Lino Facioli
shall we dance,Comedy Drama Romance,Peter Chelsom,Lisa Ann Walter,Nick Cannon,Omar Benson Miller
small soldiers,Action Adventure Comedy Family Sci-Fi,Joe Dante,Kirsten Dunst,Denis Leary,Robert Picardo
spawn,Action Horror,Mark A.Z. Dippé,Michael Jai White,Frank Welker,Miko Hughes
the count of monte cristo,Action Adventure Drama Romance Thriller,Kevin Reynolds,Henry Cavill,James Frain,Michael Wincott
the lincoln lawyer,Crime Drama Thriller,Brad Furman,Matthew McConaughey,Margarita Levieva,Frances Fisher
unknown,Action Mystery Thriller,Jaume Collet-Serra,Liam Neeson,Frank Langella,Aidan Quinn
the prestige,Drama Mystery Sci-Fi Thriller,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson
horrible bosses 2,Comedy Crime,Sean Anders,Kevin Spacey,Christoph Waltz,Lindsay Sloane
escape from planet earth,Adventure Animation Comedy Family Sci-Fi,Cal Brunker,Brendan Fraser,Paul Scheer,Jonathan Morgan Heit
apocalypto,Action Adventure Drama Thriller,Mel Gibson,Rudy Youngblood,Dalia Hernández,Jonathan Brewer
the living daylights,Action Adventure Thriller,John Glen,Joe Don Baker,Desmond Llewelyn,Art Malik
predators,Action Adventure Sci-Fi Thriller,Nimród Antal,Topher Grace,Alice Braga,Derek Mears
legal eagles,Comedy Crime Romance,Ivan Reitman,Brian Dennehy,Debra Winger,Roscoe Lee Browne
secret window,Mystery Thriller,David Koepp,Johnny Depp,Charles S. Dutton,Timothy Hutton
the lake house,Drama Fantasy Romance,Alejandro Agresti,Keanu Reeves,Dylan Walsh,Ebon Moss-Bachrach
the skeleton key,Horror Mystery Thriller,Iain Softley,Gena Rowlands,Deneen Tyler,Joy Bryant
the odd life of timothy green,Comedy Drama Family Fantasy,Peter Hedges,Jennifer Garner,Odeya Rush,Common
made of honor,Comedy Romance,Paul Weiland,Busy Philipps,Beau Garrett,Kevin Sussman
jersey boys,Biography Drama Music Musical,Clint Eastwood,Johnny Cannizzaro,Steve Schirripa,Scott Vance
the rainmaker,Crime Drama Thriller,Francis Ford Coppola,Matt Damon,Dean Stockwell,Virginia Madsen
gothika,Horror Mystery Thriller,Mathieu Kassovitz,Robert Downey Jr.,Charles S. Dutton,Bernard Hill
amistad,Drama History,Steven Spielberg,Anthony Hopkins,Morgan Freeman,Matthew McConaughey
medicine man,Adventure Drama Romance,John McTiernan,Lorraine Bracco,José Wilker,Sean Connery
aliens vs. predator: requiem,Action Horror Sci-Fi Thriller,Colin Strause,Sam Trammell,Johnny Lewis,Ian Whyte
ri¢hie ri¢h,Comedy Family,Donald Petrie,Macaulay Culkin,John Larroquette,Jonathan Hyde
autumn in new york,Drama Romance,Joan Chen,J.K. Simmons,Sam Trammell,Elaine Stritch
music and lyrics,Comedy Music Romance,Marc Lawrence,Brad Garrett,Scott Porter,Haley Bennett
paul,Adventure Comedy Sci-Fi,Greg Mottola,Bobby Lee,Nelson Ascencio,Jeremy Owen
the guilt trip,Comedy Drama,Anne Fletcher,Miriam Margolyes,Tom Virtue,Julene Renee
scream 4,Horror Mystery,Wes Craven,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech
8mm,Mystery Thriller,Joel Schumacher,Nicolas Cage,Chris Bauer,Anthony Heald
the doors,Biography Drama Music Musical,Oliver Stone,Michael Wincott,Kevin Dillon,Kathleen Quinlan
sex tape,Comedy,Jake Kasdan,James Wilcox,Randall Park,Nat Faxon
hanging up,Comedy Drama,Diane Keaton,Adam Arkin,Celia Weston,Jesse James
final destination 5,Horror,Steven Quale,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance
mickey blue eyes,Comedy Crime Romance,Kelly Makin,Jeanne Tripplehorn,Burt Young,Vincent Pastore
pay it forward,Drama,Mimi Leder,Kevin Spacey,Haley Joel Osment,Angie Dickinson
fever pitch,Comedy Drama Romance Sport,Bobby Farrelly,Jimmy Fallon,KaDee Strickland,Ione Skye
arthur            ,Animation Comedy Family,unknown,Bruce Dinsmore,Melissa Altro,Daniel Brochu
drillbit taylor,Comedy Drama,Steven Brill,Lisa Ann Walter,Shaun Weiss,Matt Walsh
a million ways to die in the west,Comedy Western,Seth MacFarlane,Liam Neeson,Charlize Theron,Seth MacFarlane
the shadow,Action Adventure Crime Fantasy Mystery Thriller,Russell Mulcahy,Jonathan Winters,Peter Boyle,John Kapelos
extremely loud & incredibly close,Adventure Drama Mystery,Stephen Daldry,Tom Hanks,Thomas Horn,Stephen Henderson
morning glory,Comedy Drama Romance,Roger Michell,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga
get rich or die tryin',Biography Crime Drama Music,Jim Sheridan,50 Cent,Bill Duke,Marc John Jefferies
the art of war,Action Adventure Crime Thriller,Christian Duguay,Michael Biehn,Cary-Hiroyuki Tagawa,Anne Archer
rent,Drama Musical Romance,Chris Columbus,Rosario Dawson,David Fine,Jesse L. Martin
bless the child,Crime Drama Horror Thriller,Chuck Russell,Rufus Sewell,Jimmy Smits,Angela Bettis
the out-of-towners,Comedy,Sam Weisman,Oliver Hudson,Valerie Perri,Carlease Burke
the island of dr. moreau,Horror Sci-Fi Thriller,John Frankenheimer,Marlon Brando,Temuera Morrison,Marco Hofschneider
the musketeer,Action Adventure Romance,Peter Hyams,Catherine Deneuve,Justin Chambers,Stephen Rea
the other boleyn girl,Biography Drama History Romance,Justin Chadwick,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch
sweet november,Drama Romance,Pat O'Connor,Keanu Reeves,Charlize Theron,Frank Langella
the reaping,Horror Thriller,Stephen Hopkins,Stephen Rea,Andrea Frankle,William Ragsdale
mean streets,Crime Drama Romance Thriller,Martin Scorsese,Robert De Niro,David Carradine,David Proval
renaissance man,Comedy Drama,Penny Marshall,Ed Begley Jr.,Cliff Robertson,Lillo Brancato
colombiana,Action Crime Drama Thriller,Olivier Megaton,Jordi Mollà,Callum Blue,Jesse Borrego
the magic sword: quest for camelot,Adventure Animation Comedy Drama Family Fantasy Musical,Frederik Du Chau,Gary Oldman,Jaleel White,Eric Idle
city by the sea,Crime Drama Mystery Thriller,Michael Caton-Jones,Robert De Niro,James Franco,John Doman
at first sight,Drama Romance,Irwin Winkler,Mira Sorvino,Nathan Lane,Steven Weber
torque,Action Comedy Crime,Joseph Kahn,Dane Cook,Jay Hernandez,Christina Milian
city hall,Drama Thriller,Harold Becker,Al Pacino,Martin Landau,Bridget Fonda
showgirls,Drama,Paul Verhoeven,Bobbie Phillips,Elizabeth Berkley,Robert Davi
marie antoinette,Biography Drama History Romance,Sofia Coppola,Kirsten Dunst,Shirley Henderson,Rip Torn
kiss of death,Action Crime Thriller,Barbet Schroeder,Nicolas Cage,Michael Rapaport,Philip Baker Hall
get carter,Action Crime Drama Thriller,Stephen Kay,Sylvester Stallone,Miranda Richardson,Lauren Lee Smith
the impossible,Drama Thriller,J.A. Bayona,Naomi Watts,Geraldine Chaplin,Oaklee Pendergast
ishtar,Action Adventure Comedy Music Thriller,Elaine May,Carol Kane,Warren Beatty,Isabelle Adjani
fantastic mr. fox,Adventure Animation Comedy Crime Family,Wes Anderson,Bill Murray,Meryl Streep,Helen McCrory
life or something like it,Comedy Romance,Stephen Herek,Angelina Jolie Pitt,Stockard Channing,James Gammon
memoirs of an invisible man,Comedy Romance Sci-Fi Thriller,John Carpenter,Richard Epcar,Michael McKean,Patricia Heaton
amélie,Comedy Romance,Jean-Pierre Jeunet,Mathieu Kassovitz,Jamel Debbouze,Isabelle Nanty
new york minute,Comedy Crime Family Romance,Dennie Gordon,Mary-Kate Olsen,Bob Saget,Riley Smith
alfie,Comedy Drama Romance,Charles Shyer,Omar Epps,Nia Long,Jane Krakowski
big miracle,Biography Drama Romance,Ken Kwapis,Ted Danson,Tim Blake Nelson,Andrew Daly
the deep end of the ocean,Drama,Ulu Grosbard,Alexa PenaVega,Treat Williams,Jonathan Jackson
feardotcom,Crime Horror Thriller,William Malone,Natascha McElhone,Jeffrey Combs,Udo Kier
cirque du freak: the vampire's assistant,Action Adventure Fantasy Thriller,Paul Weitz,Josh Hutcherson,Salma Hayek,Patrick Fugit
victor frankenstein,Drama Horror Sci-Fi Thriller,Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays
duplex,Comedy,Danny DeVito,Justin Theroux,Amber Valletta,Harvey Fierstein
soul men,Comedy Drama Music,Malcolm D. Lee,Bernie Mac,Sean Hayes,Mike Epps
raise the titanic,Action Adventure Drama Thriller,Jerry Jameson,M. Emmet Walsh,Jason Robards,Anne Archer
universal soldier: the return,Action Sci-Fi,Mic Rodgers,Michael Jai White,Daniel von Bargen,Xander Berkeley
pandorum,Action Horror Mystery Sci-Fi Thriller,Christian Alvart,Norman Reedus,Dennis Quaid,Eddie Rouse
impostor,Drama Mystery Sci-Fi Thriller,Gary Fleder,Gary Dourdan,Mekhi Phifer,Tim Guinee
extreme ops,Action Adventure Thriller,Christian Duguay,Rufus Sewell,Bridgette Wilson-Sampras,Rupert Graves
just visiting,Comedy Fantasy Sci-Fi,Jean-Marie Poiré,Bridgette Wilson-Sampras,Matt Ross,John Aylward
sunshine,Adventure Sci-Fi Thriller,Danny Boyle,Chris Evans,Benedict Wong,Troy Garity
a thousand words,Comedy Drama,Brian Robbins,John Gatins,Lou Saliba,Greg Collins
delgo,Adventure Animation Comedy Fantasy Romance,Marc F. Adler,Eric Idle,Anne Bancroft,Kelly Ripa
the gunman,Action Crime Drama Mystery Thriller,Pierre Morel,Ray Winstone,Mark Rylance,Jasmine Trinca
alex rider: operation stormbreaker,Action Adventure Family Thriller,Geoffrey Sax,Alex Pettyfer,Sophie Okonedo,Ashley Walters
disturbia,Drama Mystery Thriller,D.J. Caruso,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo
hackers,Comedy Crime Drama Thriller,Iain Softley,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco
the hunting party,Adventure Comedy Drama Romance Thriller War,Richard Shepard,James Brolin,Zan Marolt,Ljubomir Kerekes
the hudsucker proxy,Comedy Fantasy,Joel Coen,Jennifer Jason Leigh,Bill Cobbs,John Mahoney
the warlords,Action Drama History Romance War,Peter Ho-Sun Chan,Jet Li,Takeshi Kaneshiro,Andy Lau
nomad: the warrior,Drama History War,Sergey Bodrov,Jay Hernandez,Kuno Becker,Jason Scott Lee
snowpiercer,Action Drama Sci-Fi Thriller,Joon-ho Bong,Chris Evans,Ewen Bremner,Kang-ho Song
a monster in paris,Adventure Animation Comedy Fantasy Music Romance,Bibo Bergeron,Adam Goldberg,Bob Balaban,François Cluzet
the last shot,Comedy,Jeff Nathanson,Matthew Broderick,Glenn Morshower,Tim Blake Nelson
the crow,Action Drama Fantasy,Alex Proyas,Michael Wincott,Bai Ling,David Patrick Kelly
baahubali: the beginning,Action Adventure Drama Fantasy War,S.S. Rajamouli,Tamannaah Bhatia,Anushka Shetty,Prabhas
the time traveler's wife,Drama Fantasy Romance Sci-Fi,Robert Schwentke,Arliss Howard,Brooklynn Proulx,Michelle Nolden
because i said so,Comedy Romance,Michael Lehmann,Colin Ferguson,Stephen Collins,Tom Everett Scott
the fast and the furious,Action Crime Thriller,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster
frankenweenie,Animation Comedy Family Horror Sci-Fi,Tim Burton,Martin Landau,Catherine O'Hara,Atticus Shaffer
serenity,Action Adventure Sci-Fi Thriller,Joss Whedon,Adam Baldwin,Sean Maher,Michael Hitchcock
against the ropes,Biography Drama Romance Sport,Charles S. Dutton,Omar Epps,Charles S. Dutton,Tim Daly
superman iii,Action Comedy Sci-Fi,Richard Lester,Margot Kidder,Robert Vaughn,Jackie Cooper
grudge match,Comedy Sport,Peter Segal,Robert De Niro,Sylvester Stallone,Oscar Gale
red cliff,Action Adventure Drama History War,John Woo,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao
sweet home alabama,Comedy Romance,Andy Tennant,Ethan Embry,Mary Lynn Rajskub,Courtney Gains
the ugly truth,Comedy Romance,Robert Luketic,Gerard Butler,John Michael Higgins,Eric Winter
sgt. bilko,Comedy,Jonathan Lynn,Austin Pendleton,Phil Hartman,Max Casella
spy kids 2: island of lost dreams,Action Adventure Comedy Family Sci-Fi,Robert Rodriguez,Steve Buscemi,Alexa PenaVega,Emily Osment
star trek: generations,Action Adventure Mystery Sci-Fi Thriller,David Carson,LeVar Burton,Alan Ruck,Jonathan Frakes
the grandmaster,Action Biography Drama,Kar-Wai Wong,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui
water for elephants,Drama Romance,Francis Lawrence,Robert Pattinson,Christoph Waltz,James Frain
3rd rock from the sun            ,Comedy Family Sci-Fi,unknown,Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston
dragon nest: warriors' dawn,Adventure Animation Family Fantasy,Yuefeng Song,Blythe Auffarth,Bianca Collins,Jiao Xu
the hurricane,Biography Drama Sport,Norman Jewison,Denzel Washington,Vincent Pastore,Deborah Kara Unger
enough,Crime Drama Thriller,Michael Apted,Bill Cobbs,Jeff Kober,Billy Campbell
heartbreakers,Comedy Crime Romance,David Mirkin,Sarah Silverman,Anne Bancroft,Jeffrey Jones
paul blart: mall cop 2,Action Comedy Crime,Andy Fickman,D.B. Woodside,Daniella Alonso,Eduardo Verástegui
angel eyes,Drama Romance,Luis Mandoki,Sonia Braga,Shirley Knight,Kari Matchett
joe somebody,Comedy Drama,John Pasquin,Jim Belushi,Ken Marino,Kelly Lynch
the ninth gate,Mystery Thriller,Roman Polanski,Johnny Depp,Frank Langella,Lena Olin
extreme measures,Crime Drama Mystery Thriller,Michael Apted,J.K. Simmons,Paul Guilfoyle,Bill Nunn
rock star,Drama Music,Stephen Herek,Beth Grant,Dagmara Dominczyk,Matthew Glave
precious,Drama,Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey
white squall,Adventure Drama,Ridley Scott,Jeff Bridges,Jason Marsden,Ethan Embry
the thing,Horror Mystery Sci-Fi,John Carpenter,Wilford Brimley,Richard Masur,David Clennon
riddick,Action Sci-Fi Thriller,David Twohy,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine
switchback,Crime Mystery Thriller,Jeb Stuart,Gregory Scott Cummins,Claudia Stedelin,Ted Markland
texas rangers,Action Adventure Drama Thriller Western,Steve Miner,Tom Skerritt,Usher Raymond,Leonor Varela
city of ember,Adventure Family Fantasy Sci-Fi,Gil Kenan,Bill Murray,Toby Jones,Harry Treadaway
the master,Drama,Paul Thomas Anderson,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild
virgin territory,Adventure Comedy History Romance,David Leland,Hayden Christensen,Ryan Cartwright,David Walliams
the express,Biography Drama Sport,Gary Fleder,Dennis Quaid,Nicole Beharie,Charles S. Dutton
the 5th wave,Action Adventure Sci-Fi Thriller,J Blakeson,Chloë Grace Moretz,Maggie Siff,Nick Robinson
creed,Drama Sport,Ryan Coogler,Sylvester Stallone,Phylicia Rashad,Graham McTavish
the town,Crime Drama Thriller,Ben Affleck,Jeremy Renner,Jon Hamm,Owen Burke
what to expect when you're expecting,Comedy Drama Romance,Kirk Jones,Anna Kendrick,Dennis Quaid,Thomas Lennon
burn after reading,Comedy Drama,Ethan Coen,J.K. Simmons,Brad Pitt,Kevin Sussman
nim's island,Adventure Comedy Family Fantasy,Jennifer Flackett,Gerard Butler,Anthony Simcoe,Christopher James Baker
rush,Action Biography Drama Sport,Ron Howard,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara
magnolia,Drama,Paul Thomas Anderson,Patton Oswalt,Neil Flynn,Jim Meskimen
cop out,Action Comedy Crime,Kevin Smith,Bruce Willis,Tracy Morgan,Kevin Pollak
how to be single,Comedy Romance,Christian Ditter,Alison Brie,Damon Wayans Jr.,Nicholas Braun
dolphin tale,Drama Family,Charles Martin Smith,Morgan Freeman,Michael Roark,Harry Connick Jr.
twilight,Drama Fantasy Romance,Catherine Hardwicke,Kristen Stewart,Taylor Lautner,Anna Kendrick
john q,Crime Drama Thriller,Nick Cassavetes,Denzel Washington,Laura Harring,Anne Heche
blue streak,Action Comedy Crime Thriller,Les Mayfield,Peter Greene,Dave Chappelle,Tamala Jones
we're the millers,Comedy Crime,Rawson Marshall Thurber,Laura-Leigh,Molly C. Quinn,Thomas Lennon
obitaemyy ostrov,Action Adventure Sci-Fi,Fedor Bondarchuk,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov
breakdown,Action Crime Drama Mystery Thriller,Jonathan Mostow,Kathleen Quinlan,M.C. Gainey,J.T. Walsh
never say never again,Action Adventure Thriller,Irvin Kershner,Bernie Casey,Klaus Maria Brandauer,Barbara Carrera
hot tub time machine,Comedy Sci-Fi,Steve Pink,Charlie McDermott,Collette Wolfe,Crystal Lowe
dolphin tale 2,Drama Family,Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.
reindeer games,Action Adventure Crime Drama Family Fantasy Romance Thriller,John Frankenheimer,Charlize Theron,James Frain,Clarence Williams III
a man apart,Action Crime Drama Thriller,F. Gary Gray,Vin Diesel,Jeff Kober,Larenz Tate
aloha,Comedy Drama Romance,Cameron Crowe,Emma Stone,Bradley Cooper,Bill Murray
ghosts of mississippi,Drama History,Rob Reiner,Alexa PenaVega,Virginia Madsen,Craig T. Nelson
snow falling on cedars,Drama Mystery Romance Thriller,Scott Hicks,Rick Yune,Reeve Carney,Daniel von Bargen
the rite,Drama Horror Mystery Thriller,Mikael Håfström,Anthony Hopkins,Colin O'Donoghue,Toby Jones
gattaca,Drama Sci-Fi Thriller,Andrew Niccol,Blair Underwood,Xander Berkeley,Mason Gamble
isn't she great,Biography Comedy Romance,Andrew Bergman,Stockard Channing,Nathan Lane,John Larroquette
space chimps,Adventure Animation Comedy Family Sci-Fi,Kirk De Micco,Cheryl Hines,Kenan Thompson,Omid Abtahi
head of state,Comedy,Chris Rock,Bernie Mac,Dylan Baker,Tracy Morgan
the hangover,Comedy,Todd Phillips,Bradley Cooper,Rob Riggle,Mike Epps
ip man 3,Action Biography Drama History,Wilson Yip,Mike Tyson,Lynn Hung,Kwok-Kwan Chan
austin powers: the spy who shagged me,Action Adventure Comedy Crime,Jay Roach,Muse Watson,Verne Troyer,Robert Wagner
batman,Action Adventure,Tim Burton,Michael Gough,Jack Palance,William Hootkins
there be dragons,Biography Drama War,Roland Joffé,Jordi Mollà,Dougray Scott,Lily Cole
lethal weapon 3,Action Crime Thriller,Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson
the blind side,Biography Drama Sport,John Lee Hancock,Catherine Dyer,Quinton Aaron,Kim Dickens
rush hour            ,Action Comedy Crime,unknown,Jon Foo,Aimee Garcia,Wendie Malick
spy kids,Action Adventure Comedy Family Sci-Fi,Robert Rodriguez,Alexa PenaVega,Cheech Marin,Daryl Sabara
horrible bosses,Comedy Crime,Seth Gordon,Kevin Spacey,Lindsay Sloane,Reginald Ballard
true grit,Adventure Drama Western,Ethan Coen,Matt Damon,Jeff Bridges,Bruce Green
the devil wears prada,Comedy Drama Romance,David Frankel,Meryl Streep,Anne Hathaway,Rebecca Mader
star trek: the motion picture,Adventure Mystery Sci-Fi,Robert Wise,Leonard Nimoy,Nichelle Nichols,Walter Koenig
identity thief,Comedy Crime,Seth Gordon,Jon Favreau,Eric Stonestreet,T.I.
cape fear,Crime Thriller,Martin Scorsese,Robert De Niro,Robert Mitchum,Joe Don Baker
21,Crime Drama Thriller,Robert Luketic,Kevin Spacey,Jim Sturgess,Josh Gad
trainwreck,Comedy Romance,Judd Apatow,Amy Schumer,Randall Park,Josh Segarra
guess who,Comedy Romance,Kevin Rodney Sullivan,Bernie Mac,Nicole Sullivan,Sherri Shepherd
the english patient,Drama Romance War,Anthony Minghella,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow
l.a. confidential,Crime Drama Mystery Thriller,Curtis Hanson,Kevin Spacey,Matt McCoy,Paul Guilfoyle
sky high,Adventure Comedy Family Sci-Fi,Mike Mitchell,Michael Angarano,Kelly Preston,Nicholas Braun
in & out,Comedy,Frank Oz,Tom Selleck,Wilford Brimley,Lauren Ambrose
species,Action Horror Sci-Fi Thriller,Roger Donaldson,Natasha Henstridge,Marg Helgenberger,Jordan Lund
a nightmare on elm street,Horror,Wes Craven,Johnny Depp,Lin Shaye,Amanda Wyss
the cell,Horror Sci-Fi Thriller,Tarsem Singh,Dylan Baker,Jake Weber,James Gammon
the man in the iron mask,Action Adventure,Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche
secretariat,Biography Drama Family History Sport,Randall Wallace,Scott Glenn,Kevin Connolly,Dylan Walsh
tmnt,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kevin Munroe,Chris Evans,Sarah Michelle Gellar,Mako
radio,Biography Drama Sport,Michael Tollin,Alfre Woodard,Riley Smith,Debra Winger
friends with benefits,Comedy Romance,Will Gluck,Mila Kunis,Justin Timberlake,Masi Oka
neighbors 2: sorority rising,Comedy,Nicholas Stoller,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons
saving mr. banks,Biography Comedy Drama History Music,John Lee Hancock,Tom Hanks,Ruth Wilson,B.J. Novak
malcolm x,Biography Drama History Romance,Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.
this is 40,Comedy,Judd Apatow,Charlyne Yi,Maude Apatow,Mackenzie Aladjem
old dogs,Comedy Family,Walt Becker,Robin Williams,Bernie Mac,Ann-Margret
underworld: rise of the lycans,Action Adventure Fantasy Sci-Fi Thriller,Patrick Tatopoulos,Craig Parker,Kevin Grevioux,Steven Mackintosh
license to wed,Comedy Romance,Ken Kwapis,Robin Williams,Christine Taylor,Mindy Kaling
the benchwarmers,Comedy Romance Sport,Dennis Dugan,Jon Lovitz,Jon Heder,Tim Meadows
must love dogs,Comedy Romance,Gary David Goldberg,Stockard Channing,Victor Webster,Elizabeth Perkins
donnie brasco,Biography Crime Drama,Mike Newell,Johnny Depp,Al Pacino,Anne Heche
resident evil,Action Horror Sci-Fi,Paul W.S. Anderson,Milla Jovovich,Jaymes Butler,Colin Salmon
poltergeist,Fantasy Horror,Tobe Hooper,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson
the ladykillers,Comedy Crime Thriller,Ethan Coen,J.K. Simmons,Tom Hanks,Stephen Root
max payne,Action Crime Drama Mystery Thriller,John Moore,Mila Kunis,Beau Bridges,Jamie Hector
in time,Action Sci-Fi Thriller,Andrew Niccol,Matt Bomer,Olivia Wilde,Justin Timberlake
the back-up plan,Comedy Romance,Alan Poul,Danneel Ackles,Noureen DeWulf,Tom Bosley
something borrowed,Comedy Drama Romance,Luke Greenfield,Ashley Williams,Steve Howey,Kirsten Day
hit the floor            ,Drama Romance,unknown,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning
black knight,Adventure Comedy Fantasy,Gil Junger,Tom Wilkinson,Marsha Thomason,Vincent Regan
the bad news bears,Comedy Drama Family Sport,Michael Ritchie,Tatum O'Neal,Vic Morrow,Joyce Van Patten
street fighter,Action Adventure Comedy Thriller,Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue
the pianist,Biography Drama War,Roman Polanski,Emilia Fox,Frank Finlay,Ed Stoppard
from hell,Horror Mystery Thriller,Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson
the nativity story,Drama Family Fantasy,Catherine Hardwicke,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub
house of wax,Horror,Jaume Collet-Serra,Robert Ri'chard,Paris Hilton,Brian Van Holt
closer,Drama Romance,Mike Nichols,Natalie Portman,Julia Roberts,Colin Stinton
j. edgar,Biography Crime Drama,Clint Eastwood,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever
mirrors,Horror Mystery,Alexandre Aja,Jason Flemyng,Cameron Boyce,Julian Glover
queen of the damned,Drama Fantasy Horror,Michael Rymer,Aaliyah,Lena Olin,Bruce Spence
predator 2,Action Horror Sci-Fi,Stephen Hopkins,Adam Baldwin,Robert Davi,Kevin Peter Hall
untraceable,Crime Drama Thriller,Gregory Hoblit,Billy Burke,Jesse Tyler Ferguson,Joseph Cross
blast from the past,Comedy Drama Romance Sci-Fi,Hugh Wilson,Brendan Fraser,Sissy Spacek,Douglas Smith
flash gordon,Action Adventure Sci-Fi,Mike Hodges,Brian Blessed,William Hootkins,Sam J. Jones
jersey girl,Comedy Drama Romance,Kevin Smith,Stephen Root,Mike Starr,George Carlin
alex cross,Action Crime Mystery Thriller,Rob Cohen,Cicely Tyson,Chad Lindberg,Carmen Ejogo
midnight in the garden of good and evil,Crime Drama Mystery Thriller,Clint Eastwood,Kevin Spacey,Bob Gunton,Leon Rippy
heist,Action Crime Thriller,Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney
nanny mcphee returns,Comedy Family Fantasy,Susanna White,Daniel Mays,Bill Bailey,Eros Vlahos
hoffa,Biography Crime Drama,Danny DeVito,Frank Whaley,J.T. Walsh,Paul Guilfoyle
the x files: i want to believe,Drama Mystery Sci-Fi Thriller,Chris Carter,Mitch Pileggi,Callum Rennie,Nicki Aycox
ella enchanted,Comedy Family Fantasy Romance,Tommy O'Haver,Anne Hathaway,Steve Coogan,Joanna Lumley
concussion,Biography Drama Sport,Peter Landesman,Will Smith,Eddie Marsan,Albert Brooks
abduction,Action Mystery Thriller,John Singleton,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone
valiant,Adventure Animation Comedy Family War,Gary Chapman,Jim Broadbent,Olivia Williams,Pip Torrens
wonder boys,Comedy Drama,Curtis Hanson,Robert Downey Jr.,Rip Torn,Richard Thomas
